,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
73,Eric Berry,2011,FS,Defense,KC,"$450,000",$0,"$7,652,700",0.053,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
74,Anquan Boldin,2011,WR,Offense,BAL,"$6,000,000","$1,531,250","$7,531,250",0.06,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
75,Michael Turner,2011,RB,Offense,ATL,"$5,000,000","$2,500,000","$7,500,000",0.062,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
76,Richard Seymour,2011,DT,Defense,LV/OAK,"$910,000",$0,"$7,478,000",0.061,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
77,Kevin Williams,2011,DT,Defense,MIN,"$6,000,000",$0,"$7,416,666",0.061,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
78,Travelle Wharton,2011,G,Offense,CAR,"$5,400,000","$2,000,000","$7,400,000",0.06,NFC,NFC South,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,No,No
79,Domonique Foxworth,2011,CB,Defense,BAL,"$4,400,000","$1,000,000","$7,400,000",0.059,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
80,Chris Canty,2011,DE,Defense,NYG,"$5,250,000","$1,700,000","$7,200,000",0.059,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
81,Chad Greenway,2011,OLB,Defense,MIN,"$5,500,000","$1,700,000","$7,200,000",0.059,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
82,London Fletcher,2011,ILB,Defense,WAS,"$4,900,000","$2,100,000","$7,100,000",0.053,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
83,Haloti Ngata,2011,DT,Defense,BAL,"$2,100,000","$5,000,000","$7,100,000",0.056,AFC,AFC North,12,4,0,0.75,1,378,266,112,0.484375,0.476562,Yes,No
84,Casey Hampton,2011,DT,Defense,PIT,"$3,910,000","$2,166,667","$7,076,667",0.059,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
85,Matt Cassel,2011,QB,Offense,KC,"$4,750,000","$200,000","$7,075,000",0.049,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
86,Frank Gore,2011,RB,Offense,SF,"$3,900,000","$1,300,000","$7,033,000",0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
87,Asante Samuel,2011,CB,Defense,PHI,"$5,900,000","$1,000,000","$7,000,000",0.053,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
88,Vernon Davis,2011,TE,Offense,SF,"$4,708,000","$1,666,666","$6,974,666",0.051,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
89,A.J. Hawk,2011,OLB,Defense,GB,"$1,150,000","$1,600,000","$6,921,250",0.055,NFC,NFC North,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,Yes,No
90,Cullen Jenkins,2011,DE,Defense,PHI,"$3,875,000",$0,"$6,875,000",0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
91,Leon Hall,2011,CB,Defense,CIN,"$5,037,500","$1,800,000","$6,837,500",0.051,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
92,Jason Peters,2011,LT,Offense,PHI,"$5,900,000","$292,000","$6,834,000",0.052,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
93,Brandon Jacobs,2011,RB,Offense,NYG,"$4,650,000","$2,000,000","$6,750,000",0.056,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
94,Antoine Winfield,2011,CB,Defense,MIN,"$6,750,000",$0,"$6,750,000",0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
95,Steve Hutchinson,2011,G,Offense,MIN,"$6,680,000",$0,"$6,730,000",0.055,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
96,Jeff Backus,2011,T,Offense,DET,"$5,450,000",$0,"$6,723,176",0.055,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
97,Rolando McClain,2011,ILB,Defense,LV/OAK,"$450,000",$0,"$6,575,000",0.053,AFC,AFC West,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,No,No
98,Patrick Willis,2011,ILB,Defense,SF,"$1,594,455","$3,543,333","$6,538,413",0.048,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
99,Roddy White,2011,WR,Offense,ATL,"$4,000,000","$1,200,000","$6,525,000",0.054,NFC,NFC South,10,6,0,0.625,2,402,350,52,0.375,0.480469,Yes,No
100,Chris Snee,2011,G,Offense,NYG,"$3,700,000","$2,250,000","$6,500,000",0.054,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
101,Michael Roos,2011,LT,Offense,TEN,"$5,000,000","$1,500,000","$6,500,000",0.051,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
102,Andre Johnson,2011,WR,Offense,HOU,"$1,300,000","$2,611,335","$6,494,668",0.054,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
103,DeMarcus Ware,2011,OLB,Defense,DAL,"$685,000","$4,000,000","$6,488,000",0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
104,Glenn Dorsey,2011,DE,Defense,KC,"$4,082,250",$0,"$6,419,250",0.045,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
105,Tony Romo,2011,QB,Offense,DAL,"$810,000","$1,916,000","$6,410,499",0.047,NFC,NFC East,8,8,0,0.5,3,369,347,22,0.375,0.472656,No,No
106,Chris Johnson,2011,RB,Offense,TEN,"$3,000,000","$2,050,002","$6,370,002",0.05,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
107,Corey Webster,2011,CB,Defense,NYG,"$3,500,000","$875,000","$6,345,000",0.052,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
108,Ron Bartell,2011,CB,Defense,LAR/STL,"$5,200,000","$1,130,000","$6,330,000",0.051,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
109,Jason Brown,2011,G,Offense,LAR/STL,"$4,000,000","$2,200,000","$6,200,000",0.05,NFC,NFC West,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,No,No
