,Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
11591,Buster Skrine,28,2017,CB,Defense,NYJ,6000000,1250000,8500000,0.051,AFC,AFC East,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,No,No
11592,David Amerson,26,2017,CB,Defense,LV/OAK,6500000,0,8500000,0.049,AFC,AFC West,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
11593,Riley Reiff,29,2017,LT,Offense,MIN,6200000,2200000,8500000,0.05,NFC,NFC North,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
11594,Vontaze Burfict,27,2017,OLB,Defense,CIN,6535529,1725000,8460529,0.049,AFC,AFC North,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,No,No
11595,Kevin Zeitler,27,2017,G,Offense,CLE,6000000,2400000,8400000,0.039,AFC,AFC North,0,16,0,0.0,4,234,410,-176,0.0,0.519531,No,No
11596,Ron Leary,28,2017,G,Offense,DEN,2500000,875000,8375000,0.05,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11597,Golden Tate,29,2017,WR,Offense,DET,6000000,1600000,8351250,0.05,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11598,Alex Mack,32,2017,C,Offense,ATL,5750000,2300000,8300000,0.049,NFC,NFC South,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
11599,Kyle Williams,34,2017,DT,Defense,BUF,6300000,1500000,8300000,0.05,AFC,AFC East,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
11600,Mike Mitchell,30,2017,FS,Defense,PIT,5000000,950000,8135416,0.048,AFC,AFC North,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
11601,Tyrann Mathieu,25,2017,FS,Defense,ARI,4750000,3100000,8100000,0.047,NFC,NFC West,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
11602,Ryan Kalil,32,2017,C,Offense,CAR,3000000,2000000,8079000,0.045,NFC,NFC South,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
11603,Sheldon Richardson,27,2017,DT,Defense,SEA,8069000,0,8069000,0.048,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11604,Brent Grimes,34,2017,CB,Defense,TB,6000000,0,8000000,0.046,NFC,NFC South,5,11,0,0.3125,4,335,382,-47,0.375,0.554688,No,No
11605,Jack Doyle,27,2017,TE,Offense,IND,1000000,0,8000000,0.046,AFC,AFC South,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
11606,Brian Winters,26,2017,G,Offense,NYJ,1000000,0,8000000,0.048,AFC,AFC East,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,No,No
11607,Dontari Poe,27,2017,DT,Defense,ATL,7500000,0,8000000,0.048,NFC,NFC South,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
11608,Mike Wallace,31,2017,WR,Offense,BAL,4750000,2250000,8000000,0.049,AFC,AFC North,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,No,No
11609,Kyle Long,29,2017,G,Offense,CHI,6250000,1500000,8000000,0.046,NFC,NFC North,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,No,No
11610,Barry Church,29,2017,SS,Defense,JAX,5000000,0,8000000,0.039,AFC,AFC South,10,6,0,0.625,1,417,268,149,0.39375,0.433594,Yes,No
11611,Derrick Morgan,31,2017,OLB,Defense,TEN,6000000,1500000,7968750,0.042,AFC,AFC South,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,Yes,No
11612,Bennie Logan,28,2017,DT,Defense,KC,6680000,1000000,7953125,0.047,AFC,AFC West,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
11613,Derek Wolfe,27,2017,DE,Defense,DEN,5500000,1875000,7862500,0.047,AFC,AFC West,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
11614,Bryan Bulaga,28,2017,RT,Offense,GB,5400000,1600000,7850000,0.045,NFC,NFC North,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
11615,Pernell McPhee,29,2017,OLB,Defense,CHI,6950000,500000,7825000,0.045,NFC,NFC North,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,No,No
11616,Haloti Ngata,33,2017,DT,Defense,DET,5500000,2000000,7703125,0.046,NFC,NFC North,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
11617,Bobby Wagner,27,2017,ILB,Defense,SEA,4000000,1600000,7600000,0.045,NFC,NFC West,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
11618,Malcolm Jenkins,30,2017,FS,Defense,PHI,6000000,1500000,7500000,0.043,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11619,Brandon Graham,29,2017,DE,Defense,PHI,6500000,1000000,7500000,0.043,NFC,NFC East,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
11620,Jason Pierre-Paul,28,2017,DE,Defense,NYG,1250000,5000000,7500000,0.045,NFC,NFC East,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
11621,Cameron Wake,35,2017,DE,Defense,MIA,6875000,500000,7500000,0.044,AFC,AFC East,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
11622,Terron Armstead,26,2017,LT,Offense,NO,4200000,2200000,7500000,0.046,NFC,NFC South,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,Yes,No
11623,Coby Fleener,29,2017,TE,Offense,NO,5800000,1600000,7500000,0.046,NFC,NFC South,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,Yes,No
11624,Harrison Smith,28,2017,FS,Defense,MIN,5150000,2000000,7500000,0.044,NFC,NFC North,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
11625,Julian Edelman,31,2017,WR,Offense,NE,3000000,2916666,7416666,0.044,AFC,AFC East,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
