Year,Conf,Division,Team,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
2018,NFC,NFC East,WAS,7,9,0,0.4375,3,281,359,-78,0.366071,0.484375,No,No
2018,NFC,NFC North,CHI,12,4,0,0.75,1,421,283,138,0.411458,0.421875,Yes,No
2018,NFC,NFC North,DET,6,10,0,0.375,4,324,360,-36,0.416667,0.496094,No,No
2018,NFC,NFC North,GB,6,9,1,0.40625,3,376,400,-24,0.416667,0.484375,No,No
2018,NFC,NFC North,MIN,8,7,1,0.53125,2,360,341,19,0.351562,0.5,No,No
2018,NFC,NFC South,ATL,7,9,0,0.4375,2,414,423,-9,0.348214,0.476562,No,No
2018,NFC,NFC South,CAR,7,9,0,0.4375,3,376,382,-6,0.517857,0.503906,No,No
2018,NFC,NFC South,NO,13,3,0,0.8125,1,504,353,151,0.480769,0.476562,Yes,No
2018,NFC,NFC South,TB,5,11,0,0.3125,4,396,464,-68,0.5,0.519531,No,No
2018,NFC,NFC West,ARI,3,13,0,0.1875,4,225,425,-200,0.291667,0.523438,No,No
2018,NFC,NFC West,LAR/STL,13,3,0,0.8125,1,527,384,143,0.423077,0.476562,Yes,No
2018,NFC,NFC West,SEA,10,6,0,0.625,2,428,347,81,0.39375,0.480469,Yes,No
2018,NFC,NFC West,SF,4,12,0,0.25,3,342,435,-93,0.40625,0.5,No,No
2017,AFC,AFC East,BUF,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,Yes,No
2017,AFC,AFC East,MIA,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,No,No
2017,AFC,AFC East,NE,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,Yes,No
2017,AFC,AFC East,NYJ,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,No,No
2017,AFC,AFC North,BAL,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,No,No
2017,AFC,AFC North,CIN,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,No,No
2017,AFC,AFC North,CLE,0,16,0,0.0,4,234,410,-176,0.0,0.519531,No,No
2017,AFC,AFC North,PIT,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,Yes,No
2017,AFC,AFC South,HOU,4,12,0,0.25,4,338,436,-98,0.375,0.515625,No,No
2017,AFC,AFC South,IND,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,No,No
2017,AFC,AFC South,JAX,10,6,0,0.625,1,417,268,149,0.39375,0.433594,Yes,No
2017,AFC,AFC South,TEN,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,Yes,No
2017,AFC,AFC West,DEN,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,No,No
2017,AFC,AFC West,KC,10,6,0,0.625,1,415,339,76,0.48125,0.476562,Yes,No
2017,AFC,AFC West,LAC/SD,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,No,No
2017,AFC,AFC West,LV/OAK,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,No,No
2017,NFC,NFC East,DAL,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,No,No
2017,NFC,NFC East,NYG,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,No,No
2017,NFC,NFC East,PHI,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,Yes,Yes
2017,NFC,NFC East,WAS,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,No,No
2017,NFC,NFC North,CHI,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,No,No
2017,NFC,NFC North,DET,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,No,No
2017,NFC,NFC North,GB,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,No,No
2017,NFC,NFC North,MIN,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,Yes,No
2017,NFC,NFC South,ATL,10,6,0,0.625,3,353,315,38,0.475,0.542969,Yes,No
2017,NFC,NFC South,CAR,11,5,0,0.6875,2,363,327,36,0.5,0.539062,Yes,No
2017,NFC,NFC South,NO,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,Yes,No
2017,NFC,NFC South,TB,5,11,0,0.3125,4,335,382,-47,0.375,0.554688,No,No
2017,NFC,NFC West,ARI,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,No,No
2017,NFC,NFC West,LAR/STL,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,Yes,No
2017,NFC,NFC West,SEA,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,No,No
2017,NFC,NFC West,SF,6,10,0,0.375,4,331,383,-52,0.4375,0.511719,No,No
2016,AFC,AFC East,BUF,7,9,0,0.4375,3,399,378,21,0.339286,0.482422,No,No
2016,AFC,AFC East,MIA,10,6,0,0.625,2,363,380,-17,0.340625,0.455078,Yes,No
2016,AFC,AFC East,NE,14,2,0,0.875,1,441,250,191,0.424107,0.439453,Yes,Yes
2016,AFC,AFC East,NYJ,5,11,0,0.3125,4,275,409,-134,0.3125,0.517578,No,No
2016,AFC,AFC North,BAL,8,8,0,0.5,2,343,321,22,0.363281,0.498047,No,No
2016,AFC,AFC North,CIN,6,9,1,0.40625,3,325,315,10,0.333333,0.521484,No,No
2016,AFC,AFC North,CLE,1,15,0,0.0625,4,264,452,-188,0.3125,0.548828,No,No
