Player,Age,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap_Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win%,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won_Superbowl
Karlos Dansby,30,2011,ILB,Defense,MIA,2700000,800000,5225000,0.04,AFC,AFC East,6,10,0,0.375,3,329,313,16,0.416667,0.503906,No,No
Jahri Evans,28,2011,G,Offense,NO,3000000,2000000,5200000,0.042,NFC,NFC South,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,Yes,No
Shaun Phillips,30,2011,DE,Defense,LAC/SD,3900000,1166667,5166667,0.043,AFC,AFC West,8,8,0,0.5,2,406,377,29,0.429688,0.515625,No,No
Michael Crabtree,24,2011,WR,Offense,SF,3875000,770443,5145443,0.038,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
Charles Tillman,30,2011,CB,Defense,CHI,3400000,1416666,5116666,0.04,NFC,NFC North,8,8,0,0.5,3,353,341,12,0.40625,0.527344,No,No
Antonio Smith,30,2011,DE,Defense,HOU,1600000,2500000,5100000,0.042,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
Justin Tuck,28,2011,DE,Defense,NYG,3450000,1500000,5100000,0.042,NFC,NFC East,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,Yes,Yes
Donovan McNabb,35,2011,QB,Offense,MIN,5050000,0,5050000,0.041,NFC,NFC North,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,No,No
Daryl Smith,29,2011,ILB,Defense,JAX,4200000,750000,5000000,0.033,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
DeAngelo Hall,28,2011,CB,Defense,WAS,4500000,0,5000000,0.037,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
Trent Cole,29,2011,OLB,Defense,PHI,3900000,0,5000000,0.038,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
Corey Williams,31,2011,DT,Defense,DET,4900000,0,5000000,0.041,NFC,NFC North,10,6,0,0.625,2,474,387,87,0.39375,0.535156,Yes,No
Matt Hasselbeck,36,2011,QB,Offense,TEN,3000000,2000000,5000000,0.039,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
Aaron Kampman,32,2011,DE,Defense,JAX,2450000,2500000,4975000,0.033,AFC,AFC South,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,No,No
Isaac Sopoaga,30,2011,DT,Defense,SF,3800000,955000,4945625,0.036,NFC,NFC West,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,Yes,No
Jamaal Charles,25,2011,RB,Offense,KC,3350000,0,4933333,0.034,AFC,AFC West,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,No,No
